,Statistic Label,Year,Region,UNIT,VALUE,Adjusted Value
328,Pigs,2013,Dublin and Mid-East,Euro Million,29.1,34.07494145199063
329,Pigs,2013,Midland,Euro Million,84.1,98.47775175644027
330,Pigs,2014,State,Euro Million,471.3,549.9416569428238
331,Pigs,2014,Northern and Western,Euro Million,128.8,150.291715285881
332,Pigs,2014,Border,Euro Million,113.9,132.90548424737457
333,Pigs,2014,West,Euro Million,14.9,17.38623103850642
334,Pigs,2014,Southern,Euro Million,230.7,269.1948658109685
335,Pigs,2014,Mid-West,Euro Million,73.0,85.1808634772462
336,Pigs,2014,South-East,Euro Million,69.7,81.33022170361727
337,Pigs,2014,South-West,Euro Million,88.0,102.68378063010502
338,Pigs,2014,Eastern and Midland,Euro Million,111.8,130.45507584597433
339,Pigs,2014,Dublin and Mid-East,Euro Million,28.1,32.78879813302217
340,Pigs,2014,Midland,Euro Million,83.7,97.66627771295217
341,Pigs,2015,State,Euro Million,456.3,533.6842105263157
342,Pigs,2015,Northern and Western,Euro Million,116.8,136.6081871345029
343,Pigs,2015,Border,Euro Million,103.9,121.52046783625731
344,Pigs,2015,West,Euro Million,13.0,15.204678362573098
345,Pigs,2015,Southern,Euro Million,230.0,269.00584795321635
346,Pigs,2015,Mid-West,Euro Million,59.4,69.47368421052632
347,Pigs,2015,South-East,Euro Million,75.8,88.65497076023391
348,Pigs,2015,South-West,Euro Million,94.8,110.87719298245614
349,Pigs,2015,Eastern and Midland,Euro Million,109.5,128.0701754385965
350,Pigs,2015,Dublin and Mid-East,Euro Million,24.6,28.771929824561404
351,Pigs,2015,Midland,Euro Million,84.9,99.29824561403508
352,Pigs,2016,State,Euro Million,465.6,542.6573426573427
353,Pigs,2016,Northern and Western,Euro Million,124.2,144.75524475524477
354,Pigs,2016,Border,Euro Million,109.5,127.62237762237763
355,Pigs,2016,West,Euro Million,14.6,17.016317016317018
356,Pigs,2016,Southern,Euro Million,223.5,260.4895104895105
357,Pigs,2016,Mid-West,Euro Million,64.0,74.5920745920746
358,Pigs,2016,South-East,Euro Million,68.5,79.83682983682984
359,Pigs,2016,South-West,Euro Million,90.9,105.94405594405596
360,Pigs,2016,Eastern and Midland,Euro Million,118.0,137.52913752913753
361,Pigs,2016,Dublin and Mid-East,Euro Million,30.6,35.66433566433567
362,Pigs,2016,Midland,Euro Million,87.4,101.86480186480188
363,Pigs,2017,State,Euro Million,516.7760138,595.3640711981567
364,Pigs,2017,Northern and Western,Euro Million,137.7113596,158.65364009216592
365,Pigs,2017,Border,Euro Million,123.2576919,142.0019491935484
366,Pigs,2017,West,Euro Million,14.45366774,16.651690944700462
367,Pigs,2017,Southern,Euro Million,258.8624983,298.22868467741944
368,Pigs,2017,Mid-West,Euro Million,69.19851164,79.72178760368665
369,Pigs,2017,South-East,Euro Million,85.53676616,98.54466147465439
370,Pigs,2017,South-West,Euro Million,104.1272205,119.96223559907835
371,Pigs,2017,Eastern and Midland,Euro Million,120.2021558,138.48174631336406
372,Pigs,2017,Dublin and Mid-East,Euro Million,31.91026853,36.76298217741936
373,Pigs,2017,Midland,Euro Million,88.2918873,101.71876417050692
374,Pigs,2018,State,Euro Million,459.0530686,523.4356540478906
375,Pigs,2018,Northern and Western,Euro Million,117.120234,133.54644697833524
376,Pigs,2018,Border,Euro Million,104.2797097,118.90502816419612
377,Pigs,2018,West,Euro Million,12.84052427,14.641418779931584
378,Pigs,2018,Southern,Euro Million,230.5677154,262.905034663626
379,Pigs,2018,Mid-West,Euro Million,71.17675137,81.15935161915623
380,Pigs,2018,South-East,Euro Million,71.55478185,81.59040119726339
381,Pigs,2018,South-West,Euro Million,87.8361822,100.1552818700114
382,Pigs,2018,Eastern and Midland,Euro Million,111.3651191,126.98417229190422
383,Pigs,2018,Dublin and Mid-East,Euro Million,27.40667784,31.250487844925885
384,Pigs,2018,Midland,Euro Million,83.95844131,95.73368450399087
385,Pigs,2019,State,Euro Million,543.0139383,612.8825488713318
386,Pigs,2019,Northern and Western,Euro Million,152.7091185,172.35792155756207
387,Pigs,2019,Border,Euro Million,136.6847807,154.27176151241537
388,Pigs,2019,West,Euro Million,16.02433778,18.086160022573363
389,Pigs,2019,Southern,Euro Million,259.301119,292.66491986455986
390,Pigs,2019,Mid-West,Euro Million,73.59774431,83.06743150112867
391,Pigs,2019,South-East,Euro Million,76.04277858,85.82706386004516
392,Pigs,2019,South-West,Euro Million,109.6605961,123.77042449209934
393,Pigs,2019,Eastern and Midland,Euro Million,131.0037008,147.85970744920994
394,Pigs,2019,Dublin and Mid-East,Euro Million,34.07855273,38.46337779909707
395,Pigs,2019,Midland,Euro Million,96.92514811,109.3963296952596
396,Pigs,2020,State,Euro Million,601.8810192,674.7545058295963
397,Pigs,2020,Northern and Western,Euro Million,166.7835599,186.97708508968608
398,Pigs,2020,Border,Euro Million,149.835741,167.97728811659192
399,Pigs,2020,West,Euro Million,16.94781892,18.999796995515695
400,Pigs,2020,Southern,Euro Million,289.4627105,324.5097651345291
